LIMES_ISO2;LIMES_ISO3;KdW;EU;ETS
FI;FIN;1;1;1
NO;NOR;1;0;1
SE;SWE;1;1;1
EE;EST;0;1;1
LV;LVA;0;1;1
LT;LTU;0;1;1
DK;DNK;1;1;1
GB;GBR;1;1;1
IE;IRL;1;1;1
NL;NLD;1;1;1
PL;POL;0;1;1
DE;DEU;1;1;1
BE;BEL;1;1;1
LU;LUX;1;1;1
CZ;CZE;0;1;1
SK;SVK;0;1;1
AT;AUT;1;1;1
CH;CHE;1;0;0
HU;HUN;0;1;1
RO;ROM;0;1;1
SI;SVN;0;1;1
FR;FRA;1;1;1
HR;HRV;0;1;1
Balkan;BAL;0;0;0
BG;BGR;0;1;1
IT;ITA;1;1;1
ES;ESP;0;1;1
PT;PRT;1;1;1
GR;GRC;0;1;1
