LIMES_tech;Report_tech
tnr;Nuclear
pc;Hard Coal [built after 2015]
pc10;Hard Coal [built between 1995 and 2010]
pc95;Hard Coal [built between 1980 and 1995]
pc80;Hard Coal [built before 1980]
pcc;Hard Coal CCS
lpc;Lignite [built after 2015]
lpc10;Lignite [built between 1995 and 2010]
lpc95;Lignite [built between 1980 and 1995]
lpc80;Lignite [built before 1980]
lpcc;Lignite CCS
ngcc;Gas CC [built after 2015]
ngcc10;Gas CC [built between 1995 and 2010]
ngcc95;Gas CC [built between 1980 and 1995]
ngcc80;Gas CC [built before 1980]
ngccc;Gas CC CCS
ngt;Gas OC
hydro;Hydro
biolcigcc;Biomass
windon;Wind|Onshore
windoff;Wind|Offshore
spv;Solar|PV
csp;Solar|CSP
psp;Pump Hydro
helec;Hydrogen electrolysis
oil;Oil
hcc;Hydrogen CC
hct;Hydrogen OC
hfc;Hydrogen FC
waste;Waste
others;Other gases
batteries;Stat Batteries
ror;Run-of-river
hs;Hydro-storage
bio_ccs;Biomass CCS
pc_chp;CHP|Hard Coal
lpc_chp;CHP|Lignite
ngcc_chp;CHP|Gas CC
ngt_chp;CHP|Gas OC
bio_chp;CHP|Biomass
others_chp;CHP|Other gases
oil_chp;CHP|Oil
pc_heat;District Heating|Hard Coal
lpc_heat;District Heating|Lignite
gas_heat;District Heating|Gas
bio_heat;District Heating|Biomass
oil_heat;District Heating|Oil
others_heat;District Heating|Other gases
waste_heat;District Heating|Waste
sol_heat;District Heating|Solar
geo_heat;District Heating|Geothermal
hpump;District Heating|Electricity|Heat Pump
elboil;District Heating|Electricity|Electric Boiler
