LIMES;Enavi;UnitLIMES;UnitEnavi;ConvFactor
Primary Energy|Electricity|Fossil w/o CCS;Primary Energy|Electricity|Fossil w/o CCS;TWh/yr;PJ/yr;3.6
Primary Energy|Electricity|Fossil;Primary Energy|Electricity|Fossil;TWh/yr;PJ/yr;3.6
Primary Energy|Electricity|Gas;Primary Energy|Electricity|Gas;TWh/yr;PJ/yr;3.6
Primary Energy|Electricity|Hydro;Primary Energy|Electricity|Hydro;TWh/yr;PJ/yr;3.6
Primary Energy|Electricity|Nuclear;Primary Energy|Electricity|Nuclear;TWh/yr;PJ/yr;3.6
Primary Energy|Electricity|Oil;Primary Energy|Electricity|Oil;TWh/yr;PJ/yr;3.6
Primary Energy|Electricity|Other;Primary Energy|Electricity|Other;TWh/yr;PJ/yr;3.6
Primary Energy|Electricity|Waste;Primary Energy|Electricity|Waste;TWh/yr;PJ/yr;3.6
Primary Energy|Electricity|Solar;Primary Energy|Electricity|Solar;TWh/yr;PJ/yr;3.6
Primary Energy|Electricity|Wind;Primary Energy|Electricity|Wind;TWh/yr;PJ/yr;3.6
Primary Energy|Electricity|Biomass w/o CCS;Primary Energy|Electricity|Biomass w/o CCS;TWh/yr;PJ/yr;3.6
Primary Energy|Electricity|Coal w/ CCS;Primary Energy|Electricity|Coal w/ CCS;TWh/yr;PJ/yr;3.6
Primary Energy|Electricity|Coal w/o CCS;Primary Energy|Electricity|Coal w/o CCS;TWh/yr;PJ/yr;3.6
Primary Energy|Electricity|Gas w/ CCS;Primary Energy|Electricity|Gas w/ CCS;TWh/yr;PJ/yr;3.6
Primary Energy|Electricity|Gas w/o CCS;Primary Energy|Electricity|Gas w/o CCS;TWh/yr;PJ/yr;3.6
Primary Energy|Electricity|Oil w/o CCS;Primary Energy|Electricity|Oil w/o CCS;TWh/yr;PJ/yr;3.6
Primary Energy|Electricity|Lignite;Primary Energy|Electricity|Lignite;TWh/yr;PJ/yr;3.6
Primary Energy|Electricity|Hard Coal;Primary Energy|Electricity|Hard Coal;TWh/yr;PJ/yr;3.6
